paperId,questionId,assetType,path,assemblySha256,repairedManifestSha256,repairedCurrentSha256,originalCurrentSha256,repairedManifestHashMatchesCurrent,assemblyBounds,repairedManifestBounds,repairedManifestPage,sourcePdf
0625-2022-s-22,0625-2022-s-22-q40,question,0625-2022-s-22/question/q40-20-3.webp,c31f7940531a429953bab350d2ce38c8a92a50ceca593834318234bcc0903f4f,4edcf5b258d76f3df30e95578175666bca246d9459bc36fef2f401fff1f97f5e,4edcf5b258d76f3df30e95578175666bca246d9459bc36fef2f401fff1f97f5e,0f97f3b619054d9f4822802d87861beeba03dc916d7e2567945c5efe8a6290bb,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-s-22-question.pdf"",""sha256"":""cf04dfac5cdd34df3135e2ffb78cc25a874c4d2ab4cb6342486646bfef9ee8ed"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_22.pdf""}"
0625-2022-s-23,0625-2022-s-23-q40,question,0625-2022-s-23/question/q40-20-4.webp,c31f7940531a429953bab350d2ce38c8a92a50ceca593834318234bcc0903f4f,4edcf5b258d76f3df30e95578175666bca246d9459bc36fef2f401fff1f97f5e,4edcf5b258d76f3df30e95578175666bca246d9459bc36fef2f401fff1f97f5e,31e0210914a1136d2bbb81ed581f17f25dbdddbe73ab34b95b60139206911fa9,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-s-23-question.pdf"",""sha256"":""57bfe9d1c1da959adafb24771aec64e80bf26561b70f06a1103817fcff122f4e"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_23.pdf""}"
0625-2022-w-11,0625-2022-w-11-q40,question,0625-2022-w-11/question/q40-16-1.webp,f821bcc8d564f0a655de7fd1901a89f4cd6a0c431dcabb5d936848ca39eeb747,351100fa6c9ebc90d6fdefc66f6d911501ccf8828581fbe460d46464b32d028e,351100fa6c9ebc90d6fdefc66f6d911501ccf8828581fbe460d46464b32d028e,bf2ca9388f985c664f99a5a72656e5b89f17ff0cbacafb3c3256020d7e97438b,True,"[0.0,368.183,595.0,790.0]","[0.0,368.183,595.0,770.506]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2022-w-11-question.pdf"",""sha256"":""350b64c7a06a06b09a34d43b6f564ae979ddc57b9c839a4c49c12c0b23e38987"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_11.pdf""}"
0625-2022-w-12,0625-2022-w-12-q40,question,0625-2022-w-12/question/q40-20-3.webp,84c52575286f267ca49fc57df217caa59546b9cd63000a988e10461fe406f675,eecb3d0274aa77980dcc6d85927a5b4bcb79edbdc91c84008ee088067da26b74,eecb3d0274aa77980dcc6d85927a5b4bcb79edbdc91c84008ee088067da26b74,dd549f450bedf9e3922b489a88cde28e5a6177d617bb043e5a34aa6f782164a9,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,770.506]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-w-12-question.pdf"",""sha256"":""7df7e11e26cf0e6bb4327c1dd7925d7a79fce49358bf91da5147543049db35de"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_12.pdf""}"
0625-2022-w-13,0625-2022-w-13-q40,question,0625-2022-w-13/question/q40-20-4.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,ae6a28d6c89dc11f6c977e2b07ab4c4e3c644a1f1843fd5efedae6ea2513f5bb,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-w-13-question.pdf"",""sha256"":""e3c49b0ca6d89bc5557ab8ca146dd6d069d3c48083ec64fcb960c45760e835c8"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_13.pdf""}"
0625-2022-w-21,0625-2022-w-21-q40,question,0625-2022-w-21/question/q40-16-1.webp,ef8b963963e011980dcf9ed959e8ee069c351ee4eccfd0489b5529e2d12cf192,a95ad91a72c7a7ea04890e51da9aa2c476948d29adabf332484e33137379b607,a95ad91a72c7a7ea04890e51da9aa2c476948d29adabf332484e33137379b607,149fe1c33852dfd4435b7702d28564ca80a57cf866e114a5aca957ddf31df374,True,"[0.0,367.925,595.0,790.0]","[0.0,367.925,595.0,770.506]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2022-w-21-question.pdf"",""sha256"":""2a4671f6ee856903dc2b0ef0e2235eee12976b4d4d1073ad10d96fdeb48ae89b"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_21.pdf""}"
0625-2022-w-22,0625-2022-w-22-q40,question,0625-2022-w-22/question/q40-20-3.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,5351907197dbc0a39b7311a2020308293c04af5909e614fd86804d75ce030635,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-w-22-question.pdf"",""sha256"":""82ef5ed1dac2de25f1aebfeea7a689580908641a71bc2b0d2e2a5456b02fb586"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_22.pdf""}"
0625-2022-w-23,0625-2022-w-23-q40,question,0625-2022-w-23/question/q40-20-3.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,a1c715b59a9b23a81531fb0bca774a4783adc7d43ca7a9fde63cf9ebcf57b830,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-w-23-question.pdf"",""sha256"":""1143190fdba1ab5258331fea602ab4b7cd5f011f276af756f1fc399b4e36668d"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_w22_qp_23.pdf""}"
0625-2023-m-12,0625-2023-m-12-q40,question,0625-2023-m-12/question/q40-16-1.webp,73decaf7f54a5c265179578f8a5dbacc5da41f249acb73f030c124a036e442aa,ea2b8cb9168396dabce9d88b52d50489ddc803a9c82489857c6eae1a35c35e4a,ea2b8cb9168396dabce9d88b52d50489ddc803a9c82489857c6eae1a35c35e4a,81ff5f2891609b7edc5538b98d81c0e14f1848f88b6f5beff5991303ec78f88e,True,"[0.0,209.303,595.0,790.0]","[0.0,209.303,595.0,770.506]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2023-m-12-question.pdf"",""sha256"":""94c4d6f334f0a39721a0ff9e4c3457cc55eacc3aae90d33b501780fa7d1bcd21"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2023/0625_m23_qp_12.pdf""}"
0625-2023-m-22,0625-2023-m-22-q40,question,0625-2023-m-22/question/q40-16-3.webp,1be12dc9efaa7c1bbe59fd8a2aa1d555196e01981502b781a8199d07cb7ef72a,3b98090ecd25f7a7ddc124568bf9462c3f0054bd0eb70df3c05e4be66f010fe0,3b98090ecd25f7a7ddc124568bf9462c3f0054bd0eb70df3c05e4be66f010fe0,26e030ba3a43ed1aa1dfab249551e8ef658e3b283b9388925a0594d4dc5ef106,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,770.506]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2023-m-22-question.pdf"",""sha256"":""856e0f3b8596f5705ee7e48e8f0264a0010350ccbf58d629c052fdbfd39dc088"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2023/0625_m23_qp_22.pdf""}"
